origin,'s-Hertogenbosch,Alphen-Chaam,Altena,Asten,Baarle-Nassau,Bergeijk,Bergen op Zoom,Bernheze,Best,Bladel,Boekel,Boxmeer,Boxtel,Breda,Cranendonck,Cuijk,Deurne,Dongen,Drimmelen,Eersel,Eindhoven,Etten-Leur,Geertruidenberg,Geldrop-Mierlo,Gemert-Bakel,Gilze en Rijen,Goirle,Grave,Haaren,Halderberge,Heeze-Leende,Helmond,Heusden,Hilvarenbeek,Laarbeek,Landerd,Loon op Zand,Meierijstad,Mill en Sint Hubert,Moerdijk,"Nuenen, Gerwen en Nederwetten",Oirschot,Oisterwijk,Oosterhout,Oss,Reusel-De Mierden,Roosendaal,Rucphen,Sint Anthonis,Sint-Michielsgestel,Someren,Son en Breugel,Steenbergen,Tilburg,Uden,Valkenswaard,Veldhoven,Vught,Waalre,Waalwijk,Woensdrecht,Zundert
Eindhoven,4140.0,0.0,100.0,120.0,0.0,280.0,100.0,180.0,2400.0,440.0,0.0,140.0,600.0,1180.0,200.0,100.0,300.0,150.0,0.0,460.0,191699.0,100.0,100.0,1540.0,180.0,540.0,100.0,0.0,100.0,0.0,320.0,2480.0,220.0,100.0,240.0,100.0,100.0,4933.0,0.0,100.0,1080.0,400.0,180.0,100.0,640.0,100.0,320.0,0.0,0.0,140.0,200.0,2960.0,0.0,2880.0,480.0,900.0,6020.0,440.0,620.0,340.0,0.0,0.0
Etten-Leur,160.0,0.0,0.0,100.0,100.0,0.0,420.0,0.0,0.0,0.0,0.0,100.0,0.0,4280.0,0.0,0.0,0.0,100.0,100.0,0.0,280.0,32974.0,160.0,0.0,0.0,140.0,0.0,100.0,0.0,460.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,100.0,320.0,100.0,0.0,1200.0,340.0,0.0,0.0,0.0,100.0,100.0,500.0,0.0,0.0,0.0,0.0,0.0,160.0,180.0,380.0
Geertruidenberg,220.0,0.0,200.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,160.0,300.0,0.0,120.0,120.0,15915.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,1200.0,0.0,0.0,160.0,100.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,420.0,100.0,100.0
Geldrop-Mierlo,360.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,320.0,100.0,0.0,0.0,100.0,180.0,100.0,0.0,100.0,100.0,0.0,100.0,5460.0,0.0,0.0,26788.0,100.0,100.0,0.0,0.0,0.0,0.0,300.0,1480.0,0.0,100.0,100.0,0.0,0.0,667.0,0.0,0.0,380.0,100.0,200.0,0.0,120.0,0.0,0.0,0.0,0.0,100.0,120.0,320.0,0.0,400.0,100.0,200.0,600.0,100.0,100.0,100.0,0.0,0.0
Gemert-Bakel,240.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,400.0,140.0,0.0,133.0,0.0,100.0,580.0,0.0,0.0,0.0,1160.0,0.0,0.0,200.0,20917.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,100.0,0.0,600.0,0.0,0.0,1717.0,0.0,0.0,120.0,100.0,0.0,100.0,140.0,0.0,100.0,0.0,100.0,100.0,100.0,160.0,0.0,240.0,540.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Gilze en Rijen,240.0,140.0,0.0,0.0,100.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,100.0,2280.0,0.0,100.0,0.0,440.0,100.0,0.0,260.0,160.0,120.0,0.0,0.0,17838.0,140.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,200.0,100.0,680.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,0.0,0.0,100.0,100.0,0.0,240.0,0.0,0.0
Goirle,420.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,100.0,0.0,0.0,420.0,100.0,0.0,0.0,0.0,200.0,15993.0,0.0,100.0,0.0,0.0,100.0,0.0,140.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,160.0,120.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.0,0.0,0.0,100.0,0.0,0.0,200.0,0.0,0.0
Grave,200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,9943.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,320.0,0.0,300.0,160.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,260.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Haaren,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,9655.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,420.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000.0,100.0,0.0,0.0,440.0,0.0,100.0,0.0,0.0
Halderberge,100.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,100.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,100.0,0.0,140.0,1380.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,22474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,0.0,0.0,180.0,0.0,0.0,2140.0,320.0,0.0,0.0,0.0,0.0,200.0,180.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,100.0
